partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
5361,20785,10,514,18792,1993,2327,0,0,551,1028
5362,20681,17,480,18216,2465,3100,0,0,0,0
5363,20706,13,514,18626,2080,2580,0,0,0,428
5364,20671,10,435,18715,1956,2216,0,0,916,0
5365,20784,10,429,19228,1556,1732,0,0,1166,0
5366,20668,8,477,18989,1679,1866,0,0,1328,0
5367,20737,9,383,19012,1725,1916,0,0,1248,0
5368,20787,10,458,18983,1804,2074,0,0,902,0
5369,20706,8,458,18938,1768,2029,0,0,891,0
5370,20688,10,349,18799,1889,2111,0,0,1147,0
5371,20608,12,654,18274,2334,2658,0,0,732,0
5372,20744,8,654,19043,1701,1890,0,0,1242,0
5373,20746,9,443,19032,1714,1945,0,0,1067,0
5374,20634,9,459,19010,1624,1776,0,0,1234,0
5375,20587,9,507,18751,1836,2037,0,0,1127,0
5376,20809,11,507,19060,1749,1993,0,0,1313,0
5377,20793,10,403,19135,1658,1895,0,0,1333,0
5378,20665,11,365,18703,1962,2245,0,0,957,0
5379,20685,12,437,18683,2002,2314,0,0,972,0
5380,20762,6,513,19225,1537,1710,0,0,1268,0
5381,20699,10,513,18596,2103,2431,0,0,1061,0
5382,20733,19,450,18178,2555,3274,0,0,0,0
5383,20745,14,541,18225,2520,3328,0,0,0,0
5384,20730,11,541,18344,2386,3004,0,0,0,0
5385,20727,16,472,18268,2459,3150,0,0,0,0
5386,20746,16,563,18280,2466,3074,0,0,0,0
5387,20733,16,563,18345,2388,3024,0,0,0,0
5388,20747,16,416,18443,2304,2990,0,0,0,0
5389,20831,18,474,18390,2441,3118,0,0,0,0
5390,20694,18,474,18125,2569,3360,0,0,0,0
5391,20745,17,420,18366,2379,3100,0,0,0,0
5392,20598,14,420,18018,2580,3150,0,0,0,0
5393,20657,16,649,17882,2775,3308,0,0,0,0
5394,20799,14,649,18367,2432,3158,0,0,0,0
5395,20695,15,710,18190,2505,3162,0,0,0,0
5396,20773,15,544,18367,2406,3028,0,0,0,0
5397,20721,17,379,18295,2426,3044,0,0,0,0
5398,20688,15,574,18161,2527,3126,0,0,0,0
5399,20730,18,574,18104,2626,3302,0,0,0,0
5400,20766,7,539,19260,1506,1727,0,0,1024,437
5401,20646,9,536,18683,1963,2205,0,0,867,0
5402,20727,15,486,18487,2240,2776,0,0,0,304
5403,20646,6,539,19083,1563,1743,0,0,905,400
5404,20701,21,516,18201,2500,3144,0,0,0,0
5405,20675,12,380,18518,2157,2505,0,0,975,0
5406,20665,11,443,18947,1718,1868,0,0,1286,0
5407,20747,8,459,19180,1567,1759,0,0,1287,0
5408,20769,8,444,18826,1943,2186,0,0,1152,0
5409,20855,7,489,19282,1573,1747,0,0,1315,168
5410,20764,4,368,19822,942,1030,0,0,899,977
5411,20668,8,564,19062,1606,1767,0,0,1061,358
5412,20755,10,434,18860,1895,2338,0,0,0,648
5413,20649,9,421,18944,1705,1889,0,0,1331,0
5414,20765,8,426,19132,1633,1833,0,0,1119,0
5415,20789,6,437,19465,1324,1482,0,0,1019,357
5416,20757,18,542,18356,2401,3068,0,0,0,28
5417,20658,7,542,18791,1867,2205,0,0,389,740
5418,20728,13,577,18705,2023,2528,0,0,0,524
